payment_id,order_id,payment_method,amount,payment_date,status,transaction_id,card_last_four,card_brand
1,1,Credit Card,1249.75,2024-01-15 10:25:12,Completed,TXN-20240115-001,4532,Visa
2,2,Credit Card,899.94,2024-01-18 14:58:45,Completed,TXN-20240118-002,7891,Mastercard
3,3,Credit Card,2099.85,2024-01-20 09:18:22,Completed,TXN-20240120-003,2345,American Express
4,4,PayPal,459.96,2024-01-22 16:44:33,Completed,TXN-20240122-004,NULL,PayPal
5,5,Credit Card,1799.88,2024-01-25 11:32:15,Completed,TXN-20240125-005,5678,Visa
6,6,Debit Card,599.92,2024-01-28 13:48:09,Completed,TXN-20240128-006,9012,Mastercard
7,7,Credit Card,3499.70,2024-02-01 08:22:41,Completed,TXN-20240201-007,3456,American Express
8,8,PayPal,799.90,2024-02-03 15:12:28,Completed,TXN-20240203-008,NULL,PayPal
9,9,Credit Card,1199.88,2024-02-05 12:57:55,Completed,TXN-20240205-009,6789,Visa
10,10,Credit Card,1899.82,2024-02-08 10:35:42,Completed,TXN-20240208-010,1234,Mastercard
11,11,Debit Card,999.85,2024-02-10 14:21:16,Completed,TXN-20240210-011,8901,Visa
12,12,Credit Card,2499.75,2024-02-12 09:45:08,Pending,TXN-20240212-012,4567,American Express
13,13,Credit Card,1399.88,2024-02-14 16:30:27,Completed,TXN-20240214-013,2345,Visa
14,14,PayPal,699.92,2024-02-16 11:17:34,Completed,TXN-20240216-014,NULL,PayPal
15,15,Credit Card,1599.86,2024-02-18 13:52:51,Completed,TXN-20240218-015,7890,Mastercard
16,16,Credit Card,899.91,2024-02-20 08:37:45,Pending,TXN-20240220-016,5678,Visa
17,17,Debit Card,1099.89,2024-02-22 15:25:10,Completed,TXN-20240222-017,1234,Mastercard
18,18,PayPal,499.94,2024-02-24 10:10:56,Completed,TXN-20240224-018,NULL,PayPal
19,19,Credit Card,2999.80,2024-02-26 14:48:23,Pending,TXN-20240226-019,9012,American Express
20,20,Debit Card,599.93,2024-02-28 09:32:39,Completed,TXN-20240228-020,3456,Visa
21,21,Credit Card,799.90,2024-03-02 16:20:14,Completed,TXN-20240302-021,6789,Mastercard
22,22,Credit Card,1299.87,2024-03-04 11:57:48,Completed,TXN-20240304-022,2345,Visa
23,23,Credit Card,1799.84,2024-03-06 13:45:15,Pending,TXN-20240306-023,8901,American Express
24,24,PayPal,899.92,2024-03-08 08:27:41,Completed,TXN-20240308-024,NULL,PayPal
25,25,Debit Card,999.88,2024-03-10 15:12:59,Completed,TXN-20240310-025,4567,Visa
26,26,Credit Card,1499.85,2024-03-12 10:51:26,Completed,TXN-20240312-026,1234,Mastercard
27,27,Credit Card,2199.78,2024-03-14 14:35:53,Pending,TXN-20240314-027,7890,American Express
28,28,PayPal,699.91,2024-03-16 09:22:18,Completed,TXN-20240316-028,NULL,PayPal
29,29,Credit Card,1199.89,2024-03-18 16:07:44,Completed,TXN-20240318-029,5678,Visa
30,30,Credit Card,1699.83,2024-03-20 11:54:51,Pending,TXN-20240320-030,9012,Mastercard
31,31,Credit Card,3999.60,2024-03-22 13:41:27,Completed,TXN-20240322-031,3456,American Express
32,32,Debit Card,599.94,2024-03-24 08:17:55,Completed,TXN-20240324-032,6789,Visa
33,33,Credit Card,2799.70,2024-03-26 15:03:12,Pending,TXN-20240326-033,2345,American Express
34,34,PayPal,799.90,2024-03-28 10:49:40,Completed,TXN-20240328-034,NULL,PayPal
35,35,Credit Card,1899.82,2024-03-30 14:34:56,Completed,TXN-20240330-035,8901,Mastercard
36,36,Credit Card,999.88,2024-04-01 09:21:33,Pending,TXN-20240401-036,4567,Visa
37,37,Credit Card,3499.65,2024-04-03 16:07:49,Completed,TXN-20240403-037,1234,American Express
38,38,Debit Card,699.92,2024-04-05 11:52:15,Completed,TXN-20240405-038,7890,Visa
39,39,Credit Card,1299.87,2024-04-07 13:39:41,Pending,TXN-20240407-039,5678,Mastercard
40,40,Credit Card,1999.80,2024-04-09 08:27:28,Completed,TXN-20240409-040,9012,Visa

